text,language,state,intent
Tell me about the Nagarcoil temple,en,Tamil Nadu,heritage_information
Who was Prithviraj Chauhan,en,Rajasthan,person_information
What folk dances are famous in India,en,,festival_information
Describe the Khooni Darwaza history,en,Delhi,heritage_information
Tell me about the Wooden Archives of Kutch,en,Gujarat,craft_information
savaji bholanath vishe mahiti aapo,gu,Gujarat,person_information
Tell me about the Old Delhi walled city,en,Delhi,heritage_information
What is the architectural style of Sarkhej Roza,en,Gujarat,heritage_information
Maharashtra chya virasat baddal vichara,mr,Maharashtra,state_exploration
Describe the traditional Gujarati Katha storytelling tradition,en,Gujarat,heritage_information
rajkot nu science museum chhe kya,gu,Gujarat,location_information
dholavira archaeological site vishe mahiti aapo,gu,Gujarat,heritage_information
Show me heritage sites in Gujarat,en,Gujarat,state_exploration
Which district has Dholavira,en,Gujarat,location_information
gujarat ma kaya temples farva laayak chhe,gu,Gujarat,state_exploration
namaste bhai,gu,,greeting
Describe the traditional Tamilnadu bronze iconography,en,Tamil Nadu,craft_information
What historical periods are covered in the Gujarat timeline,en,Gujarat,historical_period
gujarat ni famous crafts kai chhe,gu,Gujarat,craft_information
Describe the Shekhawati region painted havelis,en,Rajasthan,heritage_information
gujarat ma kai stepwells farva layak chhe,gu,Gujarat,state_exploration
Describe the Tanjore painting tradition,en,Tamil Nadu,craft_information
who was sardar patel,gu,Gujarat,person_information
Describe the traditional Ghagra Choli attire of Gujarat,en,Gujarat,craft_information
How do I get a passport,en,,unknown
Sikh itihas bare daso,pa,Punjab,historical_period
Describe the Goa Inquisition history,en,Goa,historical_period
navratri ma garba kai rite khelay chhe,gu,Gujarat,festival_information
gujarat ma kai durg chhe,gu,Gujarat,heritage_information
kutch na hathkala vishe janavo,gu,Gujarat,craft_information
Can you tell me about Indian culture,en,,heritage_information
adlaj ni vav kya chhe,gu,Gujarat,location_information
Who built the Red Fort,en,Delhi,person_information
somnath mandir no itihas janavo,gu,Gujarat,heritage_information
What is the history of Pune,en,Maharashtra,historical_period
junagadh ma kai chhe,gu,Gujarat,state_exploration
vallabhbhai patel ni jivan vishe janavo,gu,Gujarat,person_information
What is the history of the Rajput clans,en,Rajasthan,historical_period
patan ni patola silk vishe janavo,gu,Gujarat,craft_information
Namaskar,hi,,greeting
rain time ma kya jaiye,gu,,unknown
Tell me about the Chanderi silk weaving tradition,en,Madhya Pradesh,craft_information
Tell me about the textile heritage of Surat,en,Gujarat,craft_information
Tell me about the Wankaner Palace,en,Gujarat,heritage_information
What temples are in Goa,en,Goa,heritage_information
What is the significance of Mehrauli Archaeological Park,en,Delhi,heritage_information
What are the famous Gurudwaras in Punjab,en,Punjab,heritage_information
Who was Rani Velu Nachiyar,en,Tamil Nadu,person_information
What is the history of Mamallapuram,en,Tamil Nadu,historical_period
Describe the Mewar school of painting,en,Rajasthan,craft_information
Tell me about the wooden toys of Gujarat,en,Gujarat,craft_information
What is the Wagah Border ceremony,en,Punjab,heritage_information
palitana ni temples vishe janavo,gu,Gujarat,heritage_information
rajkot ma jyotirlinga chhe kya,gu,Gujarat,location_information
Madurai nila koyilgal enna,ta,Tamil Nadu,heritage_information
What is the importance of Dwarka in Hindu tradition,en,Gujarat,heritage_information
rajkot nu khojvato chhe,gu,Gujarat,state_exploration
gujarat ma kaya historical places chhe,gu,Gujarat,state_exploration
What is the heritage significance of Lothal,en,Gujarat,heritage_information
What forts are in Maharashtra,en,Maharashtra,heritage_information
Tell me about the Chandor Heritage Mansion,en,Goa,heritage_information
Who was Guru Nanak Dev Ji,en,Punjab,person_information
Tell me about Adalaj Stepwell,en,Gujarat,heritage_information
jamnagar ma kai heritage chhe,gu,Gujarat,state_exploration
kem cho majama,gu,,greeting
What is the history of Lahore connection to Punjab,en,Punjab,historical_period
What is the significance of Se Cathedral,en,Goa,heritage_information
What is the Lattice work of Sidi Saiyyed,en,Gujarat,craft_information
Tell me about Amber Fort,en,Rajasthan,heritage_information
Describe the Warli art tradition of Maharashtra,en,Maharashtra,craft_information
What is this application about,en,,greeting
Describe the Gond tribal art tradition,en,Madhya Pradesh,craft_information
gandhinagar ma kaya heritage places chhe,gu,Gujarat,state_exploration
Tell me about Champaner heritage,en,Gujarat,heritage_information
Good afternoon,en,,greeting
Can you play music for me,en,,unknown
What is the importance of Porbandar,en,Gujarat,location_information
mahatma gandhi ni jivan leela janavo,gu,Gujarat,person_information
What is the Goa Carnival,en,Goa,festival_information
champaner ma kai chhe,gu,Gujarat,heritage_information
Where are the Ajanta Caves,en,Maharashtra,location_information
What is the Portuguese heritage in Goa,en,Goa,historical_period
rajkot ni heritage sites daso,gu,Gujarat,state_exploration
gujarat na heritage batavo,gu,Gujarat,state_exploration
Tell me about cricket scores,en,,unknown
champaner pavagadh no itihas janavo,gu,Gujarat,historical_period
dholavira kya chhe,gu,Gujarat,location_information
Describe the Chettinad mansion architecture,en,Tamil Nadu,craft_information
Describe the Uparkot Fort,en,Gujarat,heritage_information
Bhangra nritya ke baare mein batao,hi,Punjab,festival_information
Who was Adil Shah and Goa connection,en,Goa,person_information
What are the famous stepwells of Rajasthan,en,Rajasthan,heritage_information
rajkot ma kai jova lakhay chhe,gu,Gujarat,state_exploration
What can I explore in Delhi,en,Delhi,state_exploration
Describe Feni of Goa,en,Goa,craft_information
Can you recommend a book to read,en,,unknown
Describe the Nagaur cattle fair tradition,en,Rajasthan,festival_information
Tell me about Dwarkadhish Temple,en,Gujarat,heritage_information
What is the history of Old Goa as a capital,en,Goa,historical_period
ahmedabad ma kai old buildings chhe,gu,Gujarat,heritage_information
Describe the Nizamuddin Dargah tradition,en,Delhi,heritage_information
What is the history of Somnath Temple,en,Gujarat,historical_period
gujarat ma monsoon ma kya jova lakhay,gu,Gujarat,state_exploration
What is famous in Madhya Pradesh,en,Madhya Pradesh,state_exploration
What is the significance of stepwells in India,en,Gujarat,heritage_information
What historical places are in Junagadh,en,Gujarat,heritage_information
What is the history of Jaisalmer Fort,en,Rajasthan,historical_period
Hello,en,,greeting
nadiad ma kai chhe jova lakhay,gu,Gujarat,state_exploration
Explain the Patola silk weaving tradition,en,Gujarat,craft_information
dwarkadhish mandir no itihas janavo,gu,Gujarat,heritage_information
gujarat na kai forts chhe,gu,Gujarat,heritage_information
somnath mandir kya chhe,gu,Gujarat,location_information
Who built the Shore Temple at Mamallapuram,en,Tamil Nadu,person_information
Tell me about the Batinda Fort,en,Punjab,heritage_information
Tell me about Punjab heritage,en,Punjab,state_exploration
Describe the Chandni Chowk street food heritage,en,Delhi,craft_information
Tell me about the ancient stepwells of Gujarat,en,Gujarat,heritage_information
What is the maritime heritage of Gujarat,en,Gujarat,heritage_information
What is the significance of India Gate,en,Delhi,heritage_information
Tell me about the Amber Fort light and sound show,en,Rajasthan,heritage_information
महाराष्ट्रातील वारसा स्थळांबद्दल सांगा,mr,Maharashtra,state_exploration
What is the significance of Navratri in Gujarat,en,Gujarat,festival_information
What city is Amber Fort in,en,Rajasthan,location_information
नमस्ते,hi,,greeting
Tell me about Ahmedabad ni old city,en,Gujarat,heritage_information
What traditional crafts does Kutch produce,en,Gujarat,craft_information
I have a question about heritage,en,,heritage_information
Tell me about Indian heritage,en,,heritage_information
Tell me about the Chandela dynasty,en,Madhya Pradesh,historical_period
What is the history of Udaipur Lake City,en,Rajasthan,historical_period
jalaram bapa vishe janavo,gu,Gujarat,person_information
gujarat no itihas janavo,gu,Gujarat,historical_period
Who was St Francis Xavier,en,Goa,person_information
Can you help me with my homework,en,,unknown
What is the architectural style of Golden Temple,en,Punjab,heritage_information
kishangadh ma kai chhe,gu,Gujarat,heritage_information
Tell me about dinosaurs,en,,unknown
gujarat ma farva jeva historical places kaya chhe,gu,Gujarat,state_exploration
Hi there,en,,greeting
What is the Hola Mohalla festival,en,Punjab,festival_information
Phulkari kive bani jandi hai,pa,Punjab,craft_information
Who was Maharana Pratap,en,Rajasthan,person_information
su recent news chhe,gu,,unknown
What is the significance of Statue of Unity,en,Gujarat,heritage_information
gujarat ma kai bird sanctuaries chhe,gu,Gujarat,state_exploration
What is the heritage of Vadodara city,en,Gujarat,heritage_information
aaje kem chho,gu,,greeting
Tell me about the Indus Valley ruins at Dholavira,en,Gujarat,historical_period
Who was the Chandela ruler who built Khajuraho,en,Madhya Pradesh,person_information
Maharashtra chi killa kuthhe ahet,mr,Maharashtra,heritage_information
Golden Temple ka itihas batao,hi,Punjab,heritage_information
What can I see in Goa,en,Goa,state_exploration
gujarat ma kai archaeological sites chhe,gu,Gujarat,heritage_information
What happened at the Battle of Surat,en,Gujarat,historical_period
Tell me about the Bajirao legacy,en,Maharashtra,person_information
hello kem cho,gu,,greeting
Tell me about the Jallikattu bull-taming tradition,en,Tamil Nadu,heritage_information
Tell me about the Sun Temple in Gujarat,en,Gujarat,heritage_information
महाराष्ट्रातील किल्ल्यांबद्दल माहिती द्या,mr,Maharashtra,heritage_information
Tell me about the beadwork of Kutch artisans,en,Gujarat,craft_information
Tell me about the Pushkar Camel Fair,en,Rajasthan,festival_information
How is Navratri celebrated in Gujarat,en,Gujarat,festival_information
gujarat ma kai museums chhe,gu,Gujarat,state_exploration
Describe Gond tribal art,en,Madhya Pradesh,craft_information
gujarat ma kai UNESCO sites chhe,gu,Gujarat,heritage_information
What is the latest news,en,,unknown
sabarmati ashram vishe janavo,gu,Gujarat,heritage_information
What happened at Sabarmati Ashram,en,Gujarat,heritage_information
What are the best restaurants,en,,unknown
Describe Blue Pottery of Jaipur,en,Rajasthan,craft_information
gujarat ma kai jova lakhay chhe,gu,Gujarat,state_exploration
gandhinagar thi somnath ketla km chhe,gu,Gujarat,location_information
Tell me about the Goan Carnival festival,en,Goa,festival_information
What is the Bikaner Camel Festival,en,Rajasthan,festival_information
Tell me about Tamil Nadu heritage,en,Tamil Nadu,state_exploration
Describe the Lamp or Deep Prajwal tradition of Goa,en,Goa,festival_information
Tell me about Golden Temple,en,Punjab,heritage_information
What temples are in Tamil Nadu,en,Tamil Nadu,heritage_information
Tell me about the Kapra weaving tradition,en,Punjab,craft_information
Tell me about the Bishnoi community and wildlife conservation,en,Rajasthan,craft_information
gandhinagar ma kai jova lakhay chhe,gu,Gujarat,state_exploration
What are good career options,en,,unknown
What is the Jantar Mantar observatory,en,Delhi,heritage_information
What city has Chandni Chowk,en,Delhi,location_information
What can I explore in Gujarat,en,Gujarat,state_exploration
How is Patan connected to Patola weaving,en,Gujarat,craft_information
What is the history of Lutyens Delhi,en,Delhi,historical_period
Tell me about Todar Mal and Gujarat,en,Gujarat,person_information
Tell me about Modhera Dance Festival,en,Gujarat,festival_information
What can you help me with,en,,greeting
What is the Pongal festival in Tamil Nadu,en,Tamil Nadu,festival_information
I want to visit Gujarat for heritage tourism,en,,state_exploration
gujarat na stepwells vishe janavo,gu,Gujarat,heritage_information
Tell me about the Maratha Empire history,en,Maharashtra,historical_period
What is the Purana Qila history,en,Delhi,historical_period
Describe the Mandu Afghan architecture heritage,en,Madhya Pradesh,heritage_information
Describe the Agariya salt workers tradition,en,Gujarat,craft_information
Tell me about Ranakpur Jain Temple in Rajasthan,en,Rajasthan,heritage_information
What is the history of Ahmedabad old city,en,Gujarat,historical_period
Tell me about Madurai Meenakshi Amman Temple history,en,Tamil Nadu,heritage_information
Tell me about Patiala and its heritage,en,Punjab,heritage_information
Tell me about Sikar and Shekhawati painted havelis,en,Rajasthan,heritage_information
What can I explore in Maharashtra,en,Maharashtra,state_exploration
Amber Fort ka itihas batao,hi,Rajasthan,heritage_information
Describe the Kolam art of Maharashtra,en,Maharashtra,craft_information
gujarat na historical places kai kai chhe,gu,Gujarat,state_exploration
What are the UNESCO sites in Maharashtra,en,Maharashtra,heritage_information
su tamari help chhe,gu,,greeting
Describe the Kunbi saree weaving tradition,en,Goa,craft_information
What city has the Golden Temple,en,Punjab,location_information
What is the Bishnoi village safari heritage,en,Rajasthan,heritage_information
What is the Tiatr theatrical tradition of Goa,en,Goa,heritage_information
Describe the Connaught Place colonial architecture,en,Delhi,heritage_information
kai movie aavi chhe,gu,,unknown
Describe the beadwork of Kutch,en,Gujarat,craft_information
What stocks should I buy,en,,unknown
Can you help me find a job,en,,unknown
Tell me about Ajanta Caves,en,Maharashtra,heritage_information
What forts are in Gujarat,en,Gujarat,heritage_information
Tell me about the capital city of Rajasthan,en,Rajasthan,location_information
What is the Rann Utsav festival,en,Gujarat,festival_information
Who built the Harmandir Sahib,en,Punjab,person_information
Tell me about Surat Castle,en,Gujarat,heritage_information
Describe the Bagh print textile tradition,en,Madhya Pradesh,craft_information
Tell me about Indian textile traditions,en,Gujarat,craft_information
who is jhaverchand kalidas,gu,Gujarat,person_information
Who built the Lake Palace in Udaipur,en,Rajasthan,person_information
Tell me about Sikh heritage in Punjab,en,Punjab,heritage_information
What are the main attractions in Gujarat,en,Gujarat,state_exploration
What is the significance of Bhimbetka rock shelters,en,Madhya Pradesh,heritage_information
What is the capital of France,en,,unknown
Tell me about the Marwar region heritage,en,Rajasthan,heritage_information
gujarat ma kai hindu temples chhe,gu,Gujarat,heritage_information
Who was Sardar Vallabhbhai Patel,en,Gujarat,person_information
gujarat na kai literary heritage chhe,gu,Gujarat,heritage_information
Tell me about Dang district tribal heritage,en,Gujarat,heritage_information
Tell me about the traditional Rajasthani safa turban,en,Rajasthan,craft_information
ahmedabad ni heritage walk kya thi aarambhe chhe,gu,Gujarat,location_information
What happened at Jallianwala Bagh,en,Punjab,heritage_information
Phulkari kaise banti hai,hi,Punjab,craft_information
What are famous Indian monuments,en,,heritage_information
Tell me about Goa history and culture,en,Goa,historical_period
rajkot ma kai temples chhe,gu,Gujarat,heritage_information
porbandar ni heritage vishe janavo,gu,Gujarat,heritage_information
uttarayan kya kyare ujavama aave chhe,gu,Gujarat,festival_information
su karo chhe tare,gu,,unknown
What is quantum computing,en,,unknown
me tamare sathe vartalaap karu chhu,gu,,greeting
What traditional arts are famous in India,en,,craft_information
gujarat ma kai wildlife sanctuaries chhe,gu,Gujarat,state_exploration
Tell me about the Menezes Braganza House,en,Goa,heritage_information
Who was Rani Durgavati of Gondwana,en,Madhya Pradesh,person_information
bhuj ma kai jova lakhay chhe,gu,Gujarat,state_exploration
gandhinagar ma swaminarayan mandir chhe kya,gu,Gujarat,location_information
Can you write a poem,en,,unknown
Tell me about the Basilica of Bom Jesus history,en,Goa,heritage_information
Describe the Ganpatipule temple tradition,en,Maharashtra,heritage_information
dholavira no itihas janavo,gu,Gujarat,historical_period
"Tell me about the Rajasthani puppet tradition, Kath",en,Rajasthan,craft_information
What are the best places to visit in Tamil Nadu,en,Tamil Nadu,state_exploration
Can you help me book a flight,en,,unknown
Tell me about Gujarat na varso,en,Gujarat,heritage_information
Tell me about the Jama Masjid of Ahmedabad,en,Gujarat,heritage_information
What is 2 plus 2,en,,unknown
amdavad nu traditional food shu chhe,gu,Gujarat,craft_information
nargund mandir kya chhe,gu,Gujarat,location_information
How do I cook pasta,en,,unknown
Who was Ahilyabai Holkar in Maharashtra,en,Maharashtra,person_information
Tell me about Khajuraho Temple complex history,en,Madhya Pradesh,heritage_information
kutch ni bandhani vishe batavo,gu,Gujarat,craft_information
dwarka mandir vishe mahiti aapo,gu,Gujarat,heritage_information
Bharatanatyam varalaru sollunga,ta,Tamil Nadu,heritage_information
Tell me about crafts of India,en,,craft_information
Who was Ashoka and his connection to Sanchi,en,Madhya Pradesh,person_information
rajkot ma ye chhe,gu,Gujarat,state_exploration
Tell me about the Lassi culture of Punjab,en,Punjab,craft_information
Meenakshi Amman Temple patri sollunga,ta,Tamil Nadu,heritage_information
Punjab di virasat bare daso,pa,Punjab,heritage_information
gujarat na famous temples kai chhe,gu,Gujarat,heritage_information
gujarat ma kai ancient sites chhe,gu,Gujarat,heritage_information
gujarat na kai museums chhe je aavani jaruri chhe,gu,Gujarat,heritage_information
What is the architecture of Nagina Wajah's Palace,en,Gujarat,heritage_information
