text,language,state,intent
Tell me about Meenakshi Temple,en,Tamil Nadu,heritage_information
What is Bharatanatyam dance,en,Tamil Nadu,heritage_information
Describe Chola Bronze sculptures,en,Tamil Nadu,craft_information
Tell me about Tamil Nadu heritage,en,Tamil Nadu,state_exploration
What temples are in Tamil Nadu,en,Tamil Nadu,heritage_information
Tell me about Basilica of Bom Jesus,en,Goa,heritage_information
What is the Goa Carnival,en,Goa,festival_information
Describe Feni of Goa,en,Goa,craft_information
Tell me about Goa heritage,en,Goa,state_exploration
What can I see in Goa,en,Goa,state_exploration
Tell me about Khajuraho Temples,en,Madhya Pradesh,heritage_information
What is the Sanchi Stupa,en,Madhya Pradesh,heritage_information
Describe Gond tribal art,en,Madhya Pradesh,craft_information
Tell me about Madhya Pradesh heritage,en,Madhya Pradesh,state_exploration
What is famous in Madhya Pradesh,en,Madhya Pradesh,state_exploration
Tell me about Red Fort Delhi,en,Delhi,heritage_information
What is the Qutub Minar,en,Delhi,heritage_information
Describe Chandni Chowk market,en,Delhi,heritage_information
Tell me about Delhi heritage,en,Delhi,state_exploration
What can I explore in Delhi,en,Delhi,state_exploration
Hello how are you,en,None,greeting
Hi there,en,None,greeting
Namaste,en,None,greeting
Hello,en,None,greeting
Hey how are you doing,en,None,greeting
Namaskar,hi,None,greeting
नमस्ते,hi,None,greeting
नमस्कार,hi,None,greeting
नमस्ते कैसे हैं,hi,None,greeting
નમસ્તે,gu,None,greeting
નમસ્કાર,gu,None,greeting
કેમ છો,gu,None,greeting
नमस्कार मी कशी आहे,mr,None,greeting
वणक्कम்,ta,None,greeting
வணக்கம்,ta,None,greeting
ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ,pa,None,greeting
ਨਮਸਤੇ,pa,None,greeting
What historical periods are covered,en,None,historical_period
Tell me about the Solanki dynasty,en,Gujarat,historical_period
What era was the Sun Temple built in,en,Gujarat,historical_period
Describe the Mughal period in Delhi,en,Delhi,historical_period
What was the Chola period like,en,Tamil Nadu,historical_period
Tell me about the Maratha era,en,Maharashtra,historical_period
What centuries are covered in the timeline,en,None,historical_period
Describe the Indus Valley Civilization at Dholavira,en,Gujarat,historical_period
What is the ancient period in Gujarat,en,Gujarat,historical_period
Tell me about the Sultanate period,en,Gujarat,historical_period
Where is Rani ki Vav located,en,Gujarat,location_information
What city is Amber Fort in,en,Rajasthan,location_information
Which district has Dholavira,en,Gujarat,location_information
What is the location of Meenakshi Temple,en,Tamil Nadu,location_information
Where can I find Warli art,en,Maharashtra,location_information
What city has the Golden Temple,en,Punjab,location_information
Where is the Red Fort in Delhi,en,Delhi,location_information
Where are the Ajanta Caves,en,Maharashtra,location_information
Which place has Khajuraho Temples,en,Madhya Pradesh,location_information
What city has Chandni Chowk,en,Delhi,location_information
I want to visit Gujarat for heritage tourism,en,Gujarat,state_exploration
What are the UNESCO sites in India,en,None,heritage_information
Can you tell me about Indian culture,en,None,heritage_information
Tell me about Indian heritage,en,None,heritage_information
What is the significance of stepwells in India,en,Gujarat,heritage_information
Tell me about Indian textile traditions,en,Gujarat,craft_information
What folk dances are famous in India,en,Gujarat,festival_information
Tell me about Indian classical dance,en,Tamil Nadu,festival_information
What are famous Indian monuments,en,None,heritage_information
I have a question about heritage,en,None,heritage_information
Tell me about history,en,None,historical_period
What is this application about,en,None,greeting
How does this chatbot work,en,None,greeting
Who are you,en,None,greeting
What can you help me with,en,None,greeting
I want to learn about heritage,en,None,state_exploration
Show me heritage sites in Gujarat,en,Gujarat,state_exploration
Show me heritage sites in Rajasthan,en,Rajasthan,state_exploration
What temples are in Goa,en,Goa,heritage_information
What forts are in Maharashtra,en,Maharashtra,heritage_information
Tell me about Sikh heritage in Punjab,en,Punjab,heritage_information
What is the weather like today,en,None,unknown
Can you order food for me,en,None,unknown
What is 2 plus 2,en,None,unknown
Tell me a joke,en,None,unknown
Who won the cricket match,en,None,unknown
What stocks should I buy,en,None,unknown
How do I cook pasta,en,None,unknown
What is the capital of France,en,None,unknown
Tell me about space exploration,en,None,unknown
Can you write a poem,en,None,unknown
What movies are playing,en,None,unknown
How do I learn programming,en,None,unknown
What is machine learning,en,None,unknown
Can you translate this to French,en,None,unknown
Tell me about climate change,en,None,unknown
What is the population of India,en,None,unknown
