text,language,state,intent,script
gujarat ke famous temples dikhao,hi,Gujarat,heritage_information,roman
maharashtratil prasiddha kille sang,mr,Maharashtra,heritage_information,roman
tamilnadu la enna dekkalam,ta,Tamil Nadu,state_exploration,roman
punjab da itihas sunao,pa,Punjab,historical_period,roman
gujarat na heritage vishe janavo,gu,Gujarat,heritage_information,roman
mujhe paas ke historical places dikhao,hi,,state_exploration,roman
kya aap mujhe bharatiya sanskriti ke bare me bata sakte ho,hi,,heritage_information,roman
mujhe kuch interesting places bataye,hi,,state_exploration,roman
bharat me konsi jagah dekhne layak hai,hi,,state_exploration,roman
konsa konsa killa famous hai bharat me,hi,,heritage_information,roman
rajashtan ke famous crafts batao,hi,Rajasthan,craft_information,roman
gujarat ki traditional arts dikhao,hi,Gujarat,craft_information,roman
maharashtra me konsa craft famous hai,hi,Maharashtra,craft_information,roman
tamil nadu ke classical dance bare me batao,hi,Tamil Nadu,festival_information,roman
punjab ke famous festivals batao,hi,Punjab,festival_information,roman
delhi ki street food heritage batao,hi,Delhi,heritage_information,roman
goa ki portuguese heritage batao,hi,Goa,heritage_information,roman
madhya pradesh ke tribal arts dikhao,hi,Madhya Pradesh,craft_information,roman
rajasthan me kahan kahan kille hai,hi,Rajasthan,heritage_information,roman
bharat me sabse purana temple konsa hai,hi,,heritage_information,roman
qutub minar kisne banaya,hi,Delhi,person_information,roman
red fort kisne banaya,hi,Delhi,person_information,roman
humayun tomb kisne banaya,hi,Delhi,person_information,roman
golden temple kisne banaya,hi,Punjab,person_information,roman
amber fort kisne banaya,hi,Rajasthan,person_information,roman
khajuraho kisne banaya,hi,Madhya Pradesh,person_information,roman
meenakshi temple kahan hai,hi,Tamil Nadu,location_information,roman
bharatanatyam kahan se shuru hua,hi,Tamil Nadu,location_information,roman
ajanta caves kahan hai,hi,Maharashtra,location_information,roman
ellora caves kahan hai,hi,Maharashtra,location_information,roman
sanchi stupa kisne banaya,hi,Madhya Pradesh,person_information,roman
ajanta gufya kuthye ahet,mr,Maharashtra,location_information,roman
ellora kuthye ahet,mr,Maharashtra,location_information,roman
shivaji maharaj kuthe janmale,mr,Maharashtra,location_information,roman
maharashtra madhe kuthhe kille ahet,mr,Maharashtra,heritage_information,roman
punjab ch kide kille ne,pa,Punjab,heritage_information,roman
golden temple kithon hai,pa,Punjab,location_information,roman
